城市,AQI,PM10,PM2.5
三亚,33.1475,27.3525,12.8798
迪庆,33.3497,30.0383,14.6557
伊春,35.0765,29.6995,16.1148
丽江,36.1339,29.6148,15.7268
林芝,36.5546,24.0601,10.7568
大理,36.8661,26.6284,21.0301
阿坝,37.7104,33.4836,18.2514
玉树,38.6415,38.1204,16.0504
怒江,39.2158,36.9454,20.0137
海口,39.3005,36.6557,19.6858
南平,39.3689,34.0164,21.5820
阿勒泰,39.5847,22.2486,9.8470
阿里,40.7568,35.3197,18.8087
黑河,40.8880,35.5820,21.4590
楚雄,41.2541,34.5847,21.3907
甘孜,42.0273,35.0383,21.1093
普洱,42.3781,42.3863,22.8986
大兴安岭,43.6066,40.0874,20.0437
玉溪,43.6530,41.1475,23.8962
汕尾,44.4208,37.8552,23.6038
深圳,44.5383,41.8880,26.0546
安顺,44.5574,37.6803,26.1066
黔西南,44.6858,44.3224,21.1721
龙岩,44.8907,42.9372,24.3661
三明,44.9617,44.5601,26.0656
塔城,45.3552,32.1694,18.0027
湛江,45.5984,38.9836,25.7186
梅州,45.6120,42.8716,27.4536
茂名,45.6393,45.4071,27.0628
临沧,45.7213,40.7404,26.5137
宁德,45.8579,43.4126,26.0027
泉州,45.9454,45.9508,25.3825
保山,46.0437,39.0000,20.9372
凉山,46.1585,37.8634,23.5246
珠海,46.3962,42.0219,25.5847
毕节,46.5847,41.8033,28.2295
防城港,46.6585,44.9426,28.0246
厦门,46.9317,45.9426,27.2432
西双版纳,46.9372,52.1585,25.5683
惠州,46.9863,45.0902,25.9290
鸡西,47.4863,47.6530,24.2732
锡林郭勒,47.6585,43.1503,14.6694
黄山,47.7049,45.9126,27.3634
中山,47.9481,42.2896,28.2732
莆田,48.0683,42.0137,27.9672
文山,48.4454,43.9317,29.3279
阳江,48.4918,42.6913,29.5246
河源,49.0273,43.5792,30.7158
福州,49.3115,49.4044,25.5792
北海,49.3279,43.4071,28.3552
黔东南,49.5355,47.1421,30.7022
黔南,49.8623,45.6198,29.3967
昆明,49.9590,51.3880,25.5738
玉林,50.1940,48.3251,31.1148
汕头,50.2350,48.2486,29.1011
舟山,50.4262,41.6421,24.3852
德宏,50.8767,46.7699,31.0384
韶关,52.2268,50.9809,32.5109
河池,52.2705,49.5219,31.8470
潮州,52.4563,47.7923,31.8989
佳木斯,52.6366,46.4727,30.0246
双鸭山,52.7705,51.5683,31.6721
云浮,52.9454,49.6940,33.6284
贺州,53.5984,53.8825,34.3907
丽水,53.8661,49.4126,32.0847
崇左,54.4672,49.6475,33.2678
延边,54.5082,48.3716,30.0874
铜仁,54.5137,60.9536,25.2295
陇南,54.8306,54.8716,29.8497
东莞,54.8607,48.8770,34.2842
呼伦贝尔,54.8716,55.1066,28.6831
广州,55.0437,54.4372,34.0164
曲靖,55.1694,55.2705,30.2486
绥化,55.8005,57.6913,32.4891
山南,55.8607,52.6175,16.2459
清远,55.8989,51.3251,34.6475
兴安盟,55.9344,52.8306,31.7459
江门,56.0055,55.5328,33.0164
钦州,56.2869,54.1257,36.0082
贵港,56.4508,55.0055,36.6311
南宁,56.6366,60.2678,35.3060
巴中,56.7623,57.4208,36.2104
梧州,56.9262,57.7623,38.2760
攀枝花,57.0492,64.1858,30.4699
漳州,57.2514,63.6393,33.0956
肇庆,57.4508,54.8880,36.4372
贵阳,57.5710,60.9044,34.5055
佛山,58.2678,55.8087,37.2240
昭通,58.4258,53.2830,30.8434
鹤岗,58.6202,60.8852,33.5437
台州,59.1066,59.8306,34.8962
揭阳,59.2678,59.1503,38.4399
昌都,59.3407,51.6456,22.5467
日喀则,59.4235,42.3224,26.9344
博州,59.4945,64.0601,28.1421
景德镇,59.7131,63.5328,38.8361
鹰潭,60.4016,56.1393,38.6448
齐齐哈尔,60.5246,61.1366,34.5546
抚州,60.6120,61.3361,40.2923
克拉玛依,60.6202,55.8005,28.4781
来宾,60.6803,56.9973,40.0628
上饶,61.1066,65.4235,38.6448
海西,61.3918,63.7041,25.7151
广元,61.4645,66.9508,25.1421
